STA_AWAL;STA_AKHIR;Panjang;Nm_Ruas;Kondisi;Tipe_Perke;Lebar_STA;No
2+400;2+500;2755,36;Jalan Pacing;RB;tanah;3.3;138
2+500;2+600;2755,36;Jalan Pacing;RB;tanah;2.4;139
2+600;2+700;2755,36;Jalan Pacing;RB;tanah;3.2;113
2+700;2+755;2755,36;Jalan Pacing;RB;tanah;3.2;140
0+000;0+100;104,65;Jalan Sedap Malam;baik;aspal;2.9;141
0+100;0+104;104,65;Jalan Sedap Malam;baik;aspal;3;142
0+000;0+100;744,55;Jalan Seroja;baik;aspal;3.1;144
0+100;0+200;744,55;Jalan Seroja;baik;aspal;3.1;145
0+200;0+300;744,55;Jalan Seroja;baik;aspal;3.1;146
0+300;0+400;744,55;Jalan Seroja;baik;aspal;3.1;147
0+400;0+500;744,55;Jalan Seroja;baik;aspal;3.1;148
0+500;0+600;744,55;Jalan Seroja;baik;aspal;3;149
0+600;0+700;744,55;Jalan Seroja;sedang;aspal;3;143
0+700;0+744;744,55;Jalan Seroja;sedang;aspal;3;150
0+000;0+100;364,51;Jalan Sri Rejeki;sedang;beton;3.8;152
0+100;0+200;364,51;Jalan Sri Rejeki;sedang;beton;3.8;153
0+200;0+300;364,51;Jalan Sri Rejeki;sedang;beton;3.8;151
0+300;0+364;364,51;Jalan Sri Rejeki;baik;beton;2.6;154
0+000;0+082;82,99;Jalan Sri Rejeki I;sedang;beton;1.7;155
0+000;0+100;190,68;Jalan Sruni;sedang;beton;2.7;156
0+100;0+190;190,68;Jalan Sruni;sedang;beton;2.7;157
0+000;0+100;117,53;Jalan Sruni 1;RB;tanah;3;158
0+100;0+117;117,53;Jalan Sruni 1;RB;tanah;3;159
0+000;0+100;102,49;Jalan Telasih;baik;aspal;3.2;160
0+100;0+102;102,49;Jalan Telasih;baik;aspal;3.2;161
0+000;0+100;417,67;Jalan Teratai;baik;aspal;3.1;163
0+100;0+200;417,67;Jalan Teratai;baik;aspal;3.1;164
0+200;0+300;417,67;Jalan Teratai;baik;aspal;3.1;165
0+300;0+400;417,67;Jalan Teratai;baik;aspal;3.1;162
0+400;0+417;417,67;Jalan Teratai;baik;aspal;3.1;166
0+000;0+100;261,75;Jalan Wijaya Kusuma;baik;aspal;2.5;168
0+100;0+200;261,75;Jalan Wijaya Kusuma;baik;aspal;2.5;167
0+200;0+261;261,75;Jalan Wijaya Kusuma;baik;aspal;2.5;169
0+000;0+100;267,32;Jalan Wijaya Kusuma I;baik;aspal;2.5;171
0+100;0+200;267,32;Jalan Wijaya Kusuma I;baik;beton;3.2;170
0+200;0+267;267,32;Jalan Wijaya Kusuma I;baik;beton;2.6;172
0+000;0+100;180,06;Jalan Wijaya Kusuma II;sedang;aspal;3;173
0+100;0+180;180,06;Jalan Wijaya Kusuma II;sedang;beton;3;174
0+000;0+100;806,85;Jl. Abimanyu;baik;beton;3;176
0+100;0+200;806,85;Jl. Abimanyu;RB;beton;2.3;177
0+200;0+300;806,85;Jl. Abimanyu;RB;beton;2.3;178
0+300;0+400;806,85;Jl. Abimanyu;RB;beton;2.3;179
0+400;0+500;806,85;Jl. Abimanyu;RB;beton;2.3;180
0+500;0+600;806,85;Jl. Abimanyu;RB;beton;2.3;181
0+600;0+700;806,85;Jl. Abimanyu;baik;beton;3;182
0+700;0+800;806,85;Jl. Abimanyu;baik;beton;3;175
0+800;0+806;806,85;Jl. Abimanyu;baik;beton;3;183
0+000;0+100;238,54;Jl. Abiyoso;baik;aspal;3;185
0+100;0+200;238,54;Jl. Abiyoso;baik;aspal;3;184
0+200;0+238;238,54;Jl. Abiyoso;baik;aspal;3;186
0+000;0+100;165,92;Jl. Arimbi 1;baik;beton;2.5;187
0+100;0+165;165,92;Jl. Arimbi 1;baik;beton;2.5;188
0+000;0+056;56,95;Jl. Arimbi 2;baik;beton;2.3;189
0+000;0+100;118,93;Jl. Arjuno;sedang;beton;4;190
0+100;0+118;118,93;Jl. Arjuno;sedang;beton;4;191
0+000;0+073;73,12;Jl. Arjuno Gg.1;baik;beton;1.5;192
0+000;0+100;343,94;Jl. Bali;baik;aspal;4.1;194
0+100;0+200;343,94;Jl. Bali;sedang;aspal;4.1;195
0+200;0+300;343,94;Jl. Bali;sedang;aspal;4.1;193
0+300;0+343;343,94;Jl. Bali;RR;aspal;4.1;196
0+000;0+100;188,60;Jl. Baru;baik;beton;2.7;197
0+100;0+188;188,60;Jl. Baru;baik;beton;2.7;198
0+000;0+100;286,45;Jl. Baru Mberan;baik;aspal;4;200
0+100;0+200;286,45;Jl. Baru Mberan;baik;beton;4;199
0+200;0+286;286,45;Jl. Baru Mberan;baik;beton;4;201
0+000;0+100;801,09;Jl. Baudayang;baik;aspal;3;203
0+100;0+200;801,09;Jl. Baudayang;baik;aspal;3;204
0+200;0+300;801,09;Jl. Baudayang;baik;aspal;3;205
0+300;0+400;801,09;Jl. Baudayang;sedang;aspal;3;206
0+400;0+500;801,09;Jl. Baudayang;baik;aspal;3;207
0+500;0+600;801,09;Jl. Baudayang;baik;aspal;3;208
0+600;0+700;801,09;Jl. Baudayang;baik;aspal;3;209
0+700;0+800;801,09;Jl. Baudayang;RR;aspal;3;202
0+800;0+801;801,09;Jl. Baudayang;RR;aspal;3;210
0+000;0+100;439,16;Jl. Bekas Rel;RB;tanah;2.4;212
0+100;0+200;439,16;Jl. Bekas Rel;RB;tanah;2.4;213
0+200;0+300;439,16;Jl. Bekas Rel;RB;tanah;2.4;214
0+300;0+400;439,16;Jl. Bekas Rel;RB;tanah;2.4;211
0+400;0+439;439,16;Jl. Bekas Rel;RB;tanah;2.4;215
0+000;0+100;328,18;Jl. Bendungan Segaran;RR;beton;1.8;217
0+100;0+200;328,18;Jl. Bendungan Segaran;RR;beton;1.8;218
0+200;0+300;328,18;Jl. Bendungan Segaran;RB;makadam;2;216
0+300;0+328;328,18;Jl. Bendungan Segaran;RB;tanah;3.1;219
0+000;0+100;123,46;Jl. Bendungan Segaran Barat;sedang;beton;2;220
0+100;0+123;123,46;Jl. Bendungan Segaran Barat;baik;beton;2;221
0+000;0+100;154,12;Jl. Cempaka Gg 4;baik;beton;2.2;222
0+100;0+154;154,12;Jl. Cempaka Gg 4;baik;beton;1.75;223
0+000;0+100;560,27;Jl. Diponegoro 2;baik;beton;2;225
0+100;0+200;560,27;Jl. Diponegoro 2;baik;beton;2.8;226
0+200;0+300;560,27;Jl. Diponegoro 2;baik;beton;2.8;227
0+300;0+400;560,27;Jl. Diponegoro 2;baik;beton;2.8;228
0+400;0+500;560,27;Jl. Diponegoro 2;RR;beton;2.8;224
0+500;0+560;560,27;Jl. Diponegoro 2;RR;beton;2.1;229
0+000;0+100;1350,31;Jl. Dungus Termulus;sedang;aspal;3.1;231
0+100;0+200;1350,31;Jl. Dungus Termulus;sedang;aspal;3;232
0+200;0+300;1350,31;Jl. Dungus Termulus;baik;aspal;3;233
0+300;0+400;1350,31;Jl. Dungus Termulus;baik;aspal;3;234
0+400;0+500;1350,31;Jl. Dungus Termulus;baik;aspal;3;235
0+500;0+600;1350,31;Jl. Dungus Termulus;sedang;aspal;3;236
0+600;0+700;1350,31;Jl. Dungus Termulus;sedang;aspal;3;237
0+700;0+800;1350,31;Jl. Dungus Termulus;sedang;aspal;3;238
0+800;0+900;1350,31;Jl. Dungus Termulus;sedang;aspal;3;239
0+900;1+000;1350,31;Jl. Dungus Termulus;sedang;aspal;3;240
1+000;1+100;1350,31;Jl. Dungus Termulus;sedang;aspal;3;241
1+100;1+200;1350,31;Jl. Dungus Termulus;sedang;aspal;3;242
1+200;1+300;1350,31;Jl. Dungus Termulus;sedang;aspal;3;230
1+300;1+350;1350,31;Jl. Dungus Termulus;sedang;aspal;3;243
0+000;0+100;106,36;Jl. Durian;sedang;aspal;2.4;244
0+100;0+106;106,36;Jl. Durian;sedang;aspal;2.4;245
0+000;0+100;198,58;Jl. Gang Abimanyu;baik;beton;2.5;246
0+100;0+198;198,58;Jl. Gang Abimanyu;baik;beton;2.5;247
0+000;0+100;119,97;Jl. Gang Anggrek V;baik;beton;3.1;248
0+100;0+119;119,97;Jl. Gang Anggrek V;baik;beton;3.1;249
0+000;0+098;98,81;Jl. Gang Asem 2;sedang;beton;2.3;250
0+000;0+098;98,96;Jl. Gang Bayusuto 1;baik;beton;1;251
0+000;0+100;130,87;Jl. Gang Bayusuto 2;baik;beton;1;252
0+100;0+130;130,87;Jl. Gang Bayusuto 2;baik;beton;1.6;253
0+000;0+100;135,53;Jl. Gang Bayusuto 3;baik;beton;1.6;254
0+100;0+135;135,53;Jl. Gang Bayusuto 3;baik;beton;1.6;255
0+000;0+100;143,90;Jl. Gang Bayusuto 4;RB;beton;2.1;256
0+100;0+143;143,90;Jl. Gang Bayusuto 4;RB;tanah;2;257
0+000;0+051;51,58;Jl. Gang Buntu;baik;aspal;3;261
0+000;0+100;224,74;Jl. Gang Buntu;baik;aspal;3;259
0+100;0+200;224,74;Jl. Gang Buntu;baik;aspal;3;258
0+200;0+224;224,74;Jl. Gang Buntu;baik;aspal;3;260
0+000;0+100;126,59;Jl. Gang Cemer 1;baik;beton;2.3;262
0+100;0+126;126,59;Jl. Gang Cemer 1;baik;beton;2.3;263
0+000;0+061;61,22;Jl. Gang Cemer 2;baik;beton;2.8;264
0+000;0+100;108,41;Jl. Gang Kantil 2;baik;beton;2;265
0+100;0+108;108,41;Jl. Gang Kantil 2;baik;beton;2;266
0+000;0+051;51,34;Jl. Gang Kantil 3;baik;beton;2;267
0+000;0+064;64,34;Jl. Gang Kasepuhan;sedang;aspal;3.5;268
0+000;0+100;103,36;Jl. Gang Mangga;baik;beton;2.8;269
0+100;0+103;103,36;Jl. Gang Mangga;baik;beton;2.8;270
0+000;0+100;186,75;Jl. Gang Masjid;RR;beton;3.1;271
0+100;0+186;186,75;Jl. Gang Masjid;RR;beton;3.1;272
0+000;0+100;112,03;Jl. Gang Rukun;baik;beton;3;273
0+100;0+112;112,03;Jl. Gang Rukun;baik;beton;3;274
0+000;0+100;204,28;Jl. Gang Sadewo 1;baik;beton;2;276
0+100;0+200;204,28;Jl. Gang Sadewo 1;baik;beton;2;275
0+200;0+204;204,28;Jl. Gang Sadewo 1;baik;beton;2;277
0+000;0+076;76,73;Jl. Gang Sadewo 2;baik;beton;2;278
0+000;0+100;399,89;Jl. Gang Sentiaki 1;sedang;aspal;2.2;280
0+100;0+200;399,89;Jl. Gang Sentiaki 1;baik;beton;2.7;281
0+200;0+300;399,89;Jl. Gang Sentiaki 1;baik;beton;2.7;279
0+300;0+399;399,89;Jl. Gang Sentiaki 1;sedang;aspal;2;282
0+000;0+100;195,13;Jl. Gang Sentiaki 2;baik;beton;2.4;283
0+100;0+195;195,13;Jl. Gang Sentiaki 2;baik;beton;2.4;284
0+000;0+100;260,33;Jl. Gang Tangah;baik;beton;4;286
0+100;0+200;260,33;Jl. Gang Tangah;baik;beton;4;285
0+200;0+260;260,33;Jl. Gang Tangah;baik;beton;4;287
0+000;0+034;34,27;Jl. Gareng;baik;beton;2.5;288
0+000;0+100;347,26;Jl. Gatot Kaca;baik;aspal;3.7;290
0+000;0+100;1138,85;Jl. Gatot Kaca;baik;aspal;3.7;294
0+100;0+200;347,26;Jl. Gatot Kaca;baik;aspal;3;291
0+100;0+200;1138,85;Jl. Gatot Kaca;baik;aspal;3;295
0+200;0+300;347,26;Jl. Gatot Kaca;baik;aspal;3;289
0+200;0+300;1138,85;Jl. Gatot Kaca;baik;aspal;3;296
0+300;0+347;347,26;Jl. Gatot Kaca;baik;aspal;3;292
0+300;0+400;1138,85;Jl. Gatot Kaca;baik;aspal;3;297
0+400;0+500;1138,85;Jl. Gatot Kaca;baik;aspal;3;298
0+500;0+600;1138,85;Jl. Gatot Kaca;baik;aspal;3;299
0+600;0+700;1138,85;Jl. Gatot Kaca;baik;aspal;3;300
0+700;0+800;1138,85;Jl. Gatot Kaca;baik;beton;3;301
0+800;0+900;1138,85;Jl. Gatot Kaca;baik;beton;3.2;302
0+900;1+000;1138,85;Jl. Gatot Kaca;baik;beton;3.2;303
1+000;1+100;1138,85;Jl. Gatot Kaca;baik;beton;3.2;293
1+100;1+138;1138,85;Jl. Gatot Kaca;baik;beton;3.2;304
0+000;0+031;31,98;Jl. Gg Borobudur;baik;beton;1.2;305
0+000;0+100;106,76;Jl. Gg Trobanyu;baik;beton;2.05;306
0+100;0+106;106,76;Jl. Gg Trobanyu;baik;beton;1.1;307
0+000;0+024;24,10;Jl. Gg. Apel;baik;beton;1.3;308
0+000;0+100;124,53;Jl. GG. Duren;baik;beton;1.1;309
0+100;0+124;124,53;Jl. GG. Duren;baik;beton;1.1;310
0+000;0+100;103,71;Jl. Gg. Jambe;sedang;beton;0.9;311
0+100;0+103;103,71;Jl. Gg. Jambe;sedang;beton;0.9;312
0+000;0+096;96,65;Jl. GG. Jambu;baik;beton;1.1;313
0+000;0+100;110,11;Jl. Gg. Jeruk;baik;beton;0.85;314
0+100;0+110;110,11;Jl. Gg. Jeruk;baik;beton;1.55;315
0+000;0+100;128,69;Jl. Gg. Kelapa;baik;beton;0.9;316
0+100;0+128;128,69;Jl. Gg. Kelapa;baik;beton;0.9;317
0+000;0+100;131,77;Jl. Gg. Kelurahan;baik;beton;2.2;318
0+100;0+131;131,77;Jl. Gg. Kelurahan;baik;beton;2.2;319
0+000;0+075;75,81;Jl. Gg. Mlinjo;baik;beton;2.1;320
0+000;0+079;79,58;Jl. Gg. Nanas;sedang;beton;1.8;321
0+000;0+086;86,77;Jl. Gg. Salak;baik;beton;1.2;322
0+000;0+100;173,31;Jl. H.Seto;baik;aspal;3;323
0+100;0+173;173,31;Jl. H.Seto;baik;aspal;3;324
0+000;0+100;197,01;Jl. Iromito;baik;beton;1.7;325
0+100;0+197;197,01;Jl. Iromito;baik;beton;1.7;326
0+000;0+098;98,68;Jl. Jambu;sedang;aspal;3;327
0+000;0+100;109,13;Jl. K.A.Moch Basari;baik;beton;4;328
0+100;0+109;109,13;Jl. K.A.Moch Basari;baik;beton;4;329
0+000;0+100;118,53;Jl. Kamboja;baik;aspal;3.4;330
0+100;0+118;118,53;Jl. Kamboja;sedang;aspal;3.4;331
0+000;0+100;333,29;Jl. Kanal Kembar (RT.11 RW.5);baik;beton;2.6;333
0+100;0+200;333,29;Jl. Kanal Kembar (RT.11 RW.5);sedang;beton;2.6;334
0+200;0+300;333,29;Jl. Kanal Kembar (RT.11 RW.5);sedang;beton;2.6;332
0+300;0+333;333,29;Jl. Kanal Kembar (RT.11 RW.5);sedang;beton;2.6;335
0+000;0+100;425,14;Jl. Kantil;baik;aspal;3;337
0+100;0+200;425,14;Jl. Kantil;baik;aspal;3;338
0+200;0+300;425,14;Jl. Kantil;baik;aspal;3;339
0+300;0+400;425,14;Jl. Kantil;sedang;aspal;3;336
0+400;0+425;425,14;Jl. Kantil;sedang;aspal;3;340
0+000;0+100;191,60;Jl. Kebon Pisang;baik;beton;3;341
0+100;0+191;191,60;Jl. Kebon Pisang;sedang;beton;2.8;342
0+000;0+100;389,54;Jl. Ki Ageng Bandar Alim;baik;aspal;2.8;344
0+100;0+200;389,54;Jl. Ki Ageng Bandar Alim;baik;aspal;3.1;345
0+200;0+300;389,54;Jl. Ki Ageng Bandar Alim;baik;aspal;3;343
0+300;0+389;389,54;Jl. Ki Ageng Bandar Alim;baik;beton;2.2;346
0+000;0+100;607,41;Jl. Ki. Ageng Basyariyah;baik;aspal;2.8;348
0+100;0+200;607,41;Jl. Ki. Ageng Basyariyah;baik;aspal;2.8;349
0+200;0+300;607,41;Jl. Ki. Ageng Basyariyah;baik;aspal;2.8;350
0+300;0+400;607,41;Jl. Ki. Ageng Basyariyah;baik;aspal;2.8;351
0+400;0+500;607,41;Jl. Ki. Ageng Basyariyah;baik;aspal;2.8;352
0+500;0+600;607,41;Jl. Ki. Ageng Basyariyah;baik;aspal;2.8;347
0+600;0+607;607,41;Jl. Ki. Ageng Basyariyah;baik;aspal;2.8;353
0+000;0+037;37,95;Jl. Ki. Ageng Basyariyah Gang 1;baik;beton;4;354
0+000;0+044;44,42;Jl. Ki. Ageng Basyariyah Gang 2;baik;beton;4;355
0+000;0+040;40,18;Jl. Ki. Ageng Basyariyah Gang 3;RB;beton;3;356
0+000;0+053;53,21;Jl. Ki. Ageng Basyariyah Gang 4;sedang;beton;3;357
0+000;0+024;24,12;Jl. Ki. Ageng Basyariyah Gang 5;baik;beton;2;358
0+000;0+050;50,60;Jl. Kiwi;RR;aspal;2.5;359
0+000;0+100;259,44;Jl. Kontak Tani;baik;aspal;3;361
0+100;0+200;259,44;Jl. Kontak Tani;baik;aspal;3;360
0+200;0+259;259,44;Jl. Kontak Tani;sedang;aspal;3;362
0+000;0+100;117,03;Jl. Kresno;baik;aspal;3;363
0+100;0+117;117,03;Jl. Kresno;baik;aspal;3;364
0+000;0+100;506,54;Jl. Krisna;baik;beton;2.6;366
0+100;0+200;506,54;Jl. Krisna;baik;beton;2.6;367
0+200;0+300;506,54;Jl. Krisna;baik;beton;2.6;368
0+300;0+400;506,54;Jl. Krisna;baik;beton;2.6;369
0+400;0+500;506,54;Jl. Krisna;baik;beton;3;365
0+500;0+506;506,54;Jl. Krisna;baik;beton;5;370
0+000;0+100;231,28;Jl. Lapangan;baik;aspal;3.2;372
0+100;0+200;231,28;Jl. Lapangan;baik;beton;3.2;371
0+200;0+231;231,28;Jl. Lapangan;baik;beton;3.5;373
0+000;0+100;165,95;Jl. Manggis;baik;beton;2.3;374
0+100;0+165;165,95;Jl. Manggis;baik;beton;2.3;375
0+000;0+100;687,89;Jl. Masjid;baik;beton;4;377
0+100;0+200;687,89;Jl. Masjid;baik;beton;4;378
0+200;0+300;687,89;Jl. Masjid;baik;beton;4;379
0+300;0+400;687,89;Jl. Masjid;sedang;beton;1.7;380
