Name;NO;Awal;STA_AWAL;STA_AKHIR;PANJANG;Kondisi;Tipe_Perke;Lebar_STA
BAJULAN;44;"111?? 40' 4.858"" E";0+600;0+700;1466,00000000000;RB;aspal;6
BAJULAN;44;"111?? 40' 4.858"" E";0+700;0+800;1466,00000000000;baik;aspal;6
BAJULAN;44;"111?? 40' 4.858"" E";0+800;0+900;1466,00000000000;sedang;aspal;6
BAJULAN;44;"111?? 40' 4.858"" E";0+900;1+000;1466,00000000000;RR;aspal;6
BAJULAN;44;"111?? 40' 4.858"" E";1+000;1+100;1466,00000000000;RB;aspal;6
BAJULAN;44;"111?? 40' 4.858"" E";1+100;1+200;1466,00000000000;baik;aspal;6
BAJULAN;44;"111?? 40' 4.858"" E";1+200;1+300;1466,00000000000;sedang;aspal;6
BAJULAN;44;"111?? 40' 4.858"" E";1+300;1+400;1466,00000000000;RR;aspal;6
BAJULAN;44;"111?? 40' 4.858"" E";1+400;1+466;1466,00000000000;RB;aspal;6
BADER;18;"111?? 33' 12.251"" E";0+000;0+100;800,00000000000;baik;aspal;6
BADER;18;"111?? 33' 12.251"" E";0+100;0+200;800,00000000000;sedang;aspal;6
BADER;18;"111?? 33' 12.251"" E";0+200;0+300;800,00000000000;RR;aspal;6
BADER;18;"111?? 33' 12.251"" E";0+300;0+400;800,00000000000;RB;aspal;6
BADER;18;"111?? 33' 12.251"" E";0+400;0+500;800,00000000000;baik;aspal;6
BADER;18;"111?? 33' 12.251"" E";0+500;0+600;800,00000000000;sedang;aspal;6
BADER;18;"111?? 33' 12.251"" E";0+600;0+630;800,00000000000;RR;aspal;6
BALEREJO I;84;"111?? 35' 4.469"" E";0+000;0+100;444,00000000000;RB;aspal;6
BALEREJO I;84;"111?? 35' 4.469"" E";0+100;0+200;444,00000000000;baik;aspal;6
BALEREJO I;84;"111?? 35' 4.469"" E";0+200;0+300;444,00000000000;sedang;aspal;6
BALEREJO I;84;"111?? 35' 4.469"" E";0+300;0+400;444,00000000000;RR;aspal;6
BALEREJO I;84;"111?? 35' 4.469"" E";0+400;0+444;444,00000000000;RB;aspal;6
BALEREJO II;85;"111?? 35' 14.165"" E";0+000;0+100;444,30074355900;baik;aspal;6
BALEREJO II;85;"111?? 35' 14.165"" E";0+100;0+200;444,30074355900;sedang;aspal;6
BALEREJO II;85;"111?? 35' 14.165"" E";0+200;0+300;444,30074355900;RR;aspal;6
BALEREJO II;85;"111?? 35' 14.165"" E";0+300;0+400;444,30074355900;RB;aspal;6
BALEREJO II;85;"111?? 35' 14.165"" E";0+400;0+444;444,30074355900;baik;aspal;6
BANARAN;79;"111?? 34' 50.929"" E";0+000;0+100;1312,77354866000;sedang;aspal;6
BANARAN;79;"111?? 34' 50.929"" E";0+100;0+200;1312,77354866000;RR;aspal;6
BANARAN;79;"111?? 34' 50.929"" E";0+200;0+300;1312,77354866000;RB;aspal;6
BANARAN;79;"111?? 34' 50.929"" E";0+300;0+400;1312,77354866000;baik;aspal;6
BANARAN;79;"111?? 34' 50.929"" E";0+400;0+500;1312,77354866000;sedang;aspal;6
BANARAN;79;"111?? 34' 50.929"" E";0+500;0+600;1312,77354866000;RR;aspal;6
BANARAN;79;"111?? 34' 50.929"" E";0+600;0+700;1312,77354866000;RB;aspal;6
BANARAN;79;"111?? 34' 50.929"" E";0+700;0+800;1312,77354866000;baik;aspal;6
BANARAN;79;"111?? 34' 50.929"" E";0+800;0+900;1312,77354866000;sedang;aspal;6
BANARAN;79;"111?? 34' 50.929"" E";0+900;1+000;1312,77354866000;RR;aspal;6
BANARAN;79;"111?? 34' 50.929"" E";1+000;1+100;1312,77354866000;RB;aspal;6
BANARAN;79;"111?? 34' 50.929"" E";1+100;1+200;1312,77354866000;baik;aspal;6
BANARAN;79;"111?? 34' 50.929"" E";1+200;1+300;1312,77354866000;sedang;aspal;6
BANARAN;79;"111?? 34' 50.929"" E";1+300;1+312;1312,77354866000;RR;aspal;6
BANCONG;68;"111?? 37' 52.388"" E";0+000;0+100;1137,29828796000;RB;aspal;6
BANCONG;68;"111?? 37' 52.388"" E";0+100;0+200;1137,29828796000;baik;aspal;6
BANCONG;68;"111?? 37' 52.388"" E";0+200;0+300;1137,29828796000;sedang;aspal;6
BANCONG;68;"111?? 37' 52.388"" E";0+300;0+400;1137,29828796000;RR;aspal;6
BANCONG;68;"111?? 37' 52.388"" E";0+400;0+500;1137,29828796000;RB;aspal;6
BANCONG;68;"111?? 37' 52.388"" E";0+500;0+600;1137,29828796000;baik;aspal;6
BANCONG;68;"111?? 37' 52.388"" E";0+600;0+700;1137,29828796000;sedang;aspal;6
BANCONG;68;"111?? 37' 52.388"" E";0+700;0+800;1137,29828796000;RR;aspal;6
BANCONG;68;"111?? 37' 52.388"" E";0+800;0+900;1137,29828796000;RB;aspal;6
BANCONG;68;"111?? 37' 52.388"" E";0+900;1+000;1137,29828796000;baik;aspal;6
BANCONG;68;"111?? 37' 52.388"" E";1+000;1+100;1137,29828796000;sedang;aspal;6
BANCONG;68;"111?? 37' 52.388"" E";1+100;1+137;1137,29828796000;RR;aspal;6
BANDUNGAN;45;"111?? 49' 39.413"" E";0+000;0+100;726,78286876600;RB;aspal;6
BANDUNGAN;45;"111?? 49' 39.413"" E";0+100;0+200;726,78286876600;baik;aspal;6
BANDUNGAN;45;"111?? 49' 39.413"" E";0+200;0+300;726,78286876600;sedang;aspal;6
BANDUNGAN;45;"111?? 49' 39.413"" E";0+300;0+400;726,78286876600;RR;aspal;6
BANDUNGAN;45;"111?? 49' 39.413"" E";0+400;0+500;726,78286876600;RB;aspal;6
BANDUNGAN;45;"111?? 49' 39.413"" E";0+500;0+600;726,78286876600;baik;aspal;6
BANDUNGAN;45;"111?? 49' 39.413"" E";0+600;0+700;726,78286876600;sedang;aspal;6
BANDUNGAN;45;"111?? 49' 39.413"" E";0+700;0+726;726,78286876600;RR;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";0+000;0+100;3026,10034878000;RB;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";0+100;0+200;3026,10034878000;baik;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";0+200;0+300;3026,10034878000;sedang;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";0+300;0+400;3026,10034878000;RR;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";0+400;0+500;3026,10034878000;RB;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";0+500;0+600;3026,10034878000;baik;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";0+600;0+700;3026,10034878000;sedang;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";0+700;0+800;3026,10034878000;RR;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";0+800;0+900;3026,10034878000;RB;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";0+900;1+000;3026,10034878000;baik;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";1+000;1+100;3026,10034878000;sedang;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";1+100;1+200;3026,10034878000;RR;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";1+200;1+300;3026,10034878000;RB;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";1+300;1+400;3026,10034878000;baik;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";1+400;1+500;3026,10034878000;sedang;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";1+500;1+600;3026,10034878000;RR;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";1+600;1+700;3026,10034878000;RB;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";1+700;1+800;3026,10034878000;baik;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";1+800;1+900;3026,10034878000;sedang;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";1+900;2+000;3026,10034878000;RR;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";2+000;2+100;3026,10034878000;RB;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";2+100;2+200;3026,10034878000;baik;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";2+200;2+300;3026,10034878000;sedang;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";2+300;2+400;3026,10034878000;RR;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";2+400;2+500;3026,10034878000;RB;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";2+500;2+600;3026,10034878000;baik;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";2+600;2+700;3026,10034878000;sedang;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";2+700;2+800;3026,10034878000;RR;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";2+800;2+900;3026,10034878000;RB;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";2+900;3+000;3026,10034878000;baik;aspal;6
BANJARSARI KULON;23;"111?? 33' 23.623"" E";3+000;3+026;3026,10034878000;sedang;aspal;6
BANJARSARI WETAN;24;"111?? 33' 10.020"" E";0+000;0+100;1055,11466016000;RR;aspal;6
BANJARSARI WETAN;24;"111?? 33' 10.020"" E";0+100;0+200;1055,11466016000;RB;aspal;6
BANJARSARI WETAN;24;"111?? 33' 10.020"" E";0+200;0+300;1055,11466016000;baik;aspal;6
BANJARSARI WETAN;24;"111?? 33' 10.020"" E";0+300;0+400;1055,11466016000;sedang;aspal;6
BANJARSARI WETAN;24;"111?? 33' 10.020"" E";0+400;0+500;1055,11466016000;RR;aspal;6
BANJARSARI WETAN;24;"111?? 33' 10.020"" E";0+500;0+600;1055,11466016000;RB;aspal;6
BANJARSARI WETAN;24;"111?? 33' 10.020"" E";0+600;0+700;1055,11466016000;baik;aspal;6
BANJARSARI WETAN;24;"111?? 33' 10.020"" E";0+700;0+800;1055,11466016000;sedang;aspal;6
BANJARSARI WETAN;24;"111?? 33' 10.020"" E";0+800;0+900;1055,11466016000;RR;aspal;6
BANJARSARI WETAN;24;"111?? 33' 10.020"" E";0+900;1+000;1055,11466016000;RB;aspal;6
BANJARSARI WETAN;24;"111?? 33' 10.020"" E";1+000;1+055;1055,11466016000;baik;aspal;6
BANYUKAMBANG;66;"111?? 36' 54.789"" E";0+000;0+100;725,67914689500;sedang;aspal;6
BANYUKAMBANG;66;"111?? 36' 54.789"" E";0+100;0+200;725,67914689500;RR;aspal;6
BANYUKAMBANG;66;"111?? 36' 54.789"" E";0+200;0+300;725,67914689500;RB;aspal;6
BANYUKAMBANG;66;"111?? 36' 54.789"" E";0+300;0+400;725,67914689500;baik;aspal;6
BANYUKAMBANG;66;"111?? 36' 54.789"" E";0+400;0+500;725,67914689500;sedang;aspal;6
BANYUKAMBANG;66;"111?? 36' 54.789"" E";0+500;0+600;725,67914689500;RR;aspal;6
BANYUKAMBANG;66;"111?? 36' 54.789"" E";0+600;0+700;725,67914689500;RB;aspal;6
BANYUKAMBANG;66;"111?? 36' 54.789"" E";0+700;0+725;725,67914689500;baik;aspal;6
BENER;46;"111?? 41' 7.230"" E";0+000;0+100;1418,14316406000;sedang;aspal;6
BENER;46;"111?? 41' 7.230"" E";0+100;0+200;1418,14316406000;RR;aspal;6
BENER;46;"111?? 41' 7.230"" E";0+200;0+300;1418,14316406000;RB;aspal;6
BENER;46;"111?? 41' 7.230"" E";0+300;0+400;1418,14316406000;baik;aspal;6
BENER;46;"111?? 41' 7.230"" E";0+400;0+500;1418,14316406000;sedang;aspal;6
BENER;46;"111?? 41' 7.230"" E";0+500;0+600;1418,14316406000;RR;aspal;6
BENER;46;"111?? 41' 7.230"" E";0+600;0+700;1418,14316406000;RB;aspal;6
BENER;46;"111?? 41' 7.230"" E";0+700;0+800;1418,14316406000;baik;aspal;6
BENER;46;"111?? 41' 7.230"" E";0+800;0+900;1418,14316406000;sedang;aspal;6
BENER;46;"111?? 41' 7.230"" E";0+900;1+000;1418,14316406000;RR;aspal;6
BENER;46;"111?? 41' 7.230"" E";1+000;1+100;1418,14316406000;RB;aspal;6
BENER;46;"111?? 41' 7.230"" E";1+100;1+200;1418,14316406000;baik;aspal;6
BENER;46;"111?? 41' 7.230"" E";1+200;1+300;1418,14316406000;sedang;aspal;6
BENER;46;"111?? 41' 7.230"" E";1+300;1+400;1418,14316406000;RR;aspal;6
BENER;46;"111?? 41' 7.230"" E";1+400;1+418;1418,14316406000;RB;aspal;6
BETEK;93;"111?? 34' 12.040"" E";0+000;0+100;1772,91559912000;baik;aspal;6
BETEK;93;"111?? 34' 12.040"" E";0+100;0+200;1772,91559912000;sedang;aspal;6
BETEK;93;"111?? 34' 12.040"" E";0+200;0+300;1772,91559912000;RR;aspal;6
BETEK;93;"111?? 34' 12.040"" E";0+300;0+400;1772,91559912000;RB;aspal;6
BETEK;93;"111?? 34' 12.040"" E";0+400;0+500;1772,91559912000;baik;aspal;6
BETEK;93;"111?? 34' 12.040"" E";0+500;0+600;1772,91559912000;sedang;aspal;6
BETEK;93;"111?? 34' 12.040"" E";0+600;0+700;1772,91559912000;RR;aspal;6
BETEK;93;"111?? 34' 12.040"" E";0+700;0+800;1772,91559912000;RB;aspal;6
BETEK;93;"111?? 34' 12.040"" E";0+800;0+900;1772,91559912000;baik;aspal;6
BETEK;93;"111?? 34' 12.040"" E";0+900;1+000;1772,91559912000;sedang;aspal;6
BETEK;93;"111?? 34' 12.040"" E";1+000;1+100;1772,91559912000;RR;aspal;6
BETEK;93;"111?? 34' 12.040"" E";1+100;1+200;1772,91559912000;RB;aspal;6
BETEK;93;"111?? 34' 12.040"" E";1+200;1+300;1772,91559912000;baik;aspal;6
BETEK;93;"111?? 34' 12.040"" E";1+300;1+400;1772,91559912000;sedang;aspal;6
BETEK;93;"111?? 34' 12.040"" E";1+400;1+500;1772,91559912000;RR;aspal;6
BETEK;93;"111?? 34' 12.040"" E";1+500;1+600;1772,91559912000;RB;aspal;6
BETEK;93;"111?? 34' 12.040"" E";1+600;1+700;1772,91559912000;baik;aspal;6
BETEK;93;"111?? 34' 12.040"" E";1+700;1+772;1772,91559912000;sedang;aspal;6
BLIMBING;22;"111?? 34' 37.518"" E";0+000;0+100;515,63304687700;RR;aspal;6
BLIMBING;22;"111?? 34' 37.518"" E";0+100;0+200;515,63304687700;RB;aspal;6
BLIMBING;22;"111?? 34' 37.518"" E";0+200;0+300;515,63304687700;baik;aspal;6
BLIMBING;22;"111?? 34' 37.518"" E";0+300;0+400;515,63304687700;sedang;aspal;6
BLIMBING;22;"111?? 34' 37.518"" E";0+400;0+500;515,63304687700;RR;aspal;6
BLIMBING;22;"111?? 34' 37.518"" E";0+500;0+515;515,63304687700;RB;aspal;6
BONGSOPOTRO;47;"111?? 41' 33.266"" E";0+000;0+100;2088,54684215000;baik;aspal;6
BONGSOPOTRO;47;"111?? 41' 33.266"" E";0+100;0+200;2088,54684215000;sedang;aspal;6
BONGSOPOTRO;47;"111?? 41' 33.266"" E";0+200;0+300;2088,54684215000;RR;aspal;6
BONGSOPOTRO;47;"111?? 41' 33.266"" E";0+300;0+400;2088,54684215000;RB;aspal;6
BONGSOPOTRO;47;"111?? 41' 33.266"" E";0+400;0+500;2088,54684215000;baik;aspal;6
BONGSOPOTRO;47;"111?? 41' 33.266"" E";0+500;0+600;2088,54684215000;sedang;aspal;6
BONGSOPOTRO;47;"111?? 41' 33.266"" E";0+600;0+700;2088,54684215000;RR;aspal;6
BONGSOPOTRO;47;"111?? 41' 33.266"" E";0+700;0+800;2088,54684215000;RB;aspal;6
BONGSOPOTRO;47;"111?? 41' 33.266"" E";0+800;0+900;2088,54684215000;baik;aspal;6
BONGSOPOTRO;47;"111?? 41' 33.266"" E";0+900;1+000;2088,54684215000;sedang;aspal;6
BONGSOPOTRO;47;"111?? 41' 33.266"" E";1+000;1+100;2088,54684215000;RR;aspal;6
BONGSOPOTRO;47;"111?? 41' 33.266"" E";1+100;1+200;2088,54684215000;RB;aspal;6
BONGSOPOTRO;47;"111?? 41' 33.266"" E";1+200;1+300;2088,54684215000;baik;aspal;6
BONGSOPOTRO;47;"111?? 41' 33.266"" E";1+300;1+400;2088,54684215000;sedang;aspal;6
BONGSOPOTRO;47;"111?? 41' 33.266"" E";1+400;1+500;2088,54684215000;RR;aspal;6
BONGSOPOTRO;47;"111?? 41' 33.266"" E";1+500;1+600;2088,54684215000;RB;aspal;6
BONGSOPOTRO;47;"111?? 41' 33.266"" E";1+600;1+700;2088,54684215000;baik;aspal;6
BONGSOPOTRO;47;"111?? 41' 33.266"" E";1+700;1+800;2088,54684215000;sedang;aspal;6
BONGSOPOTRO;47;"111?? 41' 33.266"" E";1+800;1+900;2088,54684215000;RR;aspal;6
BONGSOPOTRO;47;"111?? 41' 33.266"" E";1+900;2+000;2088,54684215000;RB;aspal;6
BONGSOPOTRO;47;"111?? 41' 33.266"" E";2+000;2+088;2088,54684215000;baik;aspal;6
BULAKREJO;77;"111?? 37' 36.741"" E";0+000;0+100;469,11623349000;sedang;aspal;6
BULAKREJO;77;"111?? 37' 36.741"" E";0+100;0+200;469,11623349000;RR;aspal;6
BULAKREJO;77;"111?? 37' 36.741"" E";0+200;0+300;469,11623349000;RB;aspal;6
BULAKREJO;77;"111?? 37' 36.741"" E";0+300;0+400;469,11623349000;baik;aspal;6
BULAKREJO;77;"111?? 37' 36.741"" E";0+400;0+469;469,11623349000;sedang;aspal;6
CANDIMULYO;16;"111?? 32' 39.313"" E";0+000;0+100;805,67277439400;RR;aspal;6
CANDIMULYO;16;"111?? 32' 39.313"" E";0+100;0+200;805,67277439400;RB;aspal;6
CANDIMULYO;16;"111?? 32' 39.313"" E";0+200;0+300;805,67277439400;baik;aspal;6
CANDIMULYO;16;"111?? 32' 39.313"" E";0+300;0+400;805,67277439400;sedang;aspal;6
CANDIMULYO;16;"111?? 32' 39.313"" E";0+400;0+500;805,67277439400;RR;aspal;6
CANDIMULYO;16;"111?? 32' 39.313"" E";0+500;0+600;805,67277439400;RB;aspal;6
CANDIMULYO;16;"111?? 32' 39.313"" E";0+600;0+700;805,67277439400;baik;aspal;6
CANDIMULYO;16;"111?? 32' 39.313"" E";0+700;0+800;805,67277439400;sedang;aspal;6
CANDIMULYO;16;"111?? 32' 39.313"" E";0+800;0+805;805,67277439400;RR;aspal;6
DARMOREJO;59;"111?? 40' 44.485"" E";0+300;0+400;495,94950788100;RB;aspal;6
DARMOREJO;59;"111?? 40' 44.485"" E";0+000;0+100;495,94950788100;baik;aspal;6
DARMOREJO;59;"111?? 40' 44.485"" E";0+100;0+200;495,94950788100;sedang;aspal;6
DARMOREJO;59;"111?? 40' 44.485"" E";0+200;0+300;495,94950788100;RR;aspal;6
DARMOREJO;59;"111?? 40' 44.485"" E";0+400;0+495;495,94950788100;RB;aspal;6
DAWUHAN;58;"111?? 40' 44.453"" E";0+000;0+100;1769,84579428000;baik;aspal;6
DAWUHAN;58;"111?? 40' 44.453"" E";0+100;0+200;1769,84579428000;sedang;aspal;6
DAWUHAN;58;"111?? 40' 44.453"" E";0+200;0+300;1769,84579428000;RR;aspal;6
DAWUHAN;58;"111?? 40' 44.453"" E";0+300;0+400;1769,84579428000;RB;aspal;6
DAWUHAN;58;"111?? 40' 44.453"" E";0+400;0+500;1769,84579428000;baik;aspal;6
DAWUHAN;58;"111?? 40' 44.453"" E";0+500;0+600;1769,84579428000;sedang;aspal;6
DAWUHAN;58;"111?? 40' 44.453"" E";0+600;0+700;1769,84579428000;RR;aspal;6
DAWUHAN;58;"111?? 40' 44.453"" E";0+700;0+800;1769,84579428000;RB;aspal;6
DAWUHAN;58;"111?? 40' 44.453"" E";0+800;0+900;1769,84579428000;baik;aspal;6
DAWUHAN;58;"111?? 40' 44.453"" E";0+900;1+000;1769,84579428000;sedang;aspal;6
DAWUHAN;58;"111?? 40' 44.453"" E";1+000;1+100;1769,84579428000;RR;aspal;6
DAWUHAN;58;"111?? 40' 44.453"" E";1+100;1+200;1769,84579428000;RB;aspal;6
DAWUHAN;58;"111?? 40' 44.453"" E";1+200;1+300;1769,84579428000;baik;aspal;6
DAWUHAN;58;"111?? 40' 44.453"" E";1+300;1+400;1769,84579428000;sedang;aspal;6
DAWUHAN;58;"111?? 40' 44.453"" E";1+400;1+500;1769,84579428000;RR;aspal;6
DAWUHAN;58;"111?? 40' 44.453"" E";1+500;1+600;1769,84579428000;RB;aspal;6
DAWUHAN;58;"111?? 40' 44.453"" E";1+600;1+700;1769,84579428000;baik;aspal;6
DAWUHAN;58;"111?? 40' 44.453"" E";1+700;1+769;1769,84579428000;sedang;aspal;6
DEMPELAN;94;"111?? 34' 13.970"" E";0+000;0+100;628,35698652600;RR;aspal;6
DEMPELAN;94;"111?? 34' 13.970"" E";0+100;0+200;628,35698652600;RB;aspal;6
DEMPELAN;94;"111?? 34' 13.970"" E";0+200;0+300;628,35698652600;baik;aspal;6
DEMPELAN;94;"111?? 34' 13.970"" E";0+300;0+400;628,35698652600;sedang;aspal;6
DEMPELAN;94;"111?? 34' 13.970"" E";0+400;0+500;628,35698652600;RR;aspal;6
DEMPELAN;94;"111?? 34' 13.970"" E";0+500;0+600;628,35698652600;RB;aspal;6
DEMPELAN;94;"111?? 34' 13.970"" E";0+600;0+628;628,35698652600;baik;aspal;6
DOHO;17;"111?? 30' 35.406"" E";0+000;0+100;1524,00012761000;sedang;aspal;6
DOHO;17;"111?? 30' 35.406"" E";0+100;0+200;1524,00012761000;RR;aspal;6
DOHO;17;"111?? 30' 35.406"" E";0+200;0+300;1524,00012761000;RB;aspal;6
DOHO;17;"111?? 30' 35.406"" E";0+300;0+400;1524,00012761000;baik;aspal;6
DOHO;17;"111?? 30' 35.406"" E";0+400;0+500;1524,00012761000;sedang;aspal;6
DOHO;17;"111?? 30' 35.406"" E";0+500;0+600;1524,00012761000;RR;aspal;6
DOHO;17;"111?? 30' 35.406"" E";0+600;0+700;1524,00012761000;RB;aspal;6
DOHO;17;"111?? 30' 35.406"" E";0+700;0+800;1524,00012761000;baik;aspal;6
DOHO;17;"111?? 30' 35.406"" E";0+800;0+900;1524,00012761000;sedang;aspal;6
DOHO;17;"111?? 30' 35.406"" E";0+900;1+000;1524,00012761000;RR;aspal;6
DOHO;17;"111?? 30' 35.406"" E";1+000;1+100;1524,00012761000;RB;aspal;6
DOHO;17;"111?? 30' 35.406"" E";1+100;1+200;1524,00012761000;baik;aspal;6
DOHO;17;"111?? 30' 35.406"" E";1+200;1+300;1524,00012761000;sedang;aspal;6
DOHO;17;"111?? 30' 35.406"" E";1+300;1+400;1524,00012761000;RR;aspal;6
DOHO;17;"111?? 30' 35.406"" E";1+400;1+500;1524,00012761000;RB;aspal;6
DOHO;17;"111?? 30' 35.406"" E";1+500;1+524;1524,00012761000;baik;aspal;6
DOLOPO I;19;"111?? 31' 7.084"" E";0+000;0+100;569,98316925000;sedang;aspal;6
DOLOPO I;19;"111?? 31' 7.084"" E";0+100;0+200;569,98316925000;RR;aspal;6
DOLOPO I;19;"111?? 31' 7.084"" E";0+200;0+300;569,98316925000;RB;aspal;6
DOLOPO I;19;"111?? 31' 7.084"" E";0+300;0+400;569,98316925000;baik;aspal;6
DOLOPO I;19;"111?? 31' 7.084"" E";0+400;0+500;569,98316925000;sedang;aspal;6
DOLOPO I;19;"111?? 31' 7.084"" E";0+500;0+500;569,98316925000;RR;aspal;6
DOLOPO II;20;"111?? 30' 39.791"" E";0+000;0+100;634,75385601400;RB;aspal;6
DOLOPO II;20;"111?? 30' 39.791"" E";0+100;0+200;634,75385601400;baik;aspal;6
DOLOPO II;20;"111?? 30' 39.791"" E";0+200;0+300;634,75385601400;sedang;aspal;6
DOLOPO II;20;"111?? 30' 39.791"" E";0+300;0+400;634,75385601400;RR;aspal;6
DOLOPO II;20;"111?? 30' 39.791"" E";0+400;0+500;634,75385601400;RB;aspal;6
DOLOPO II;20;"111?? 30' 39.791"" E";0+500;0+600;634,75385601400;baik;aspal;6
DOLOPO II;20;"111?? 30' 39.791"" E";0+600;0+634;634,75385601400;sedang;aspal;6
DUREN I;56;"111?? 41' 7.493"" E";0+000;0+100;921,07463577900;RR;aspal;6
DUREN I;56;"111?? 41' 7.493"" E";0+100;0+200;921,07463577900;RB;aspal;6
DUREN I;56;"111?? 41' 7.493"" E";0+200;0+300;921,07463577900;baik;aspal;6
DUREN I;56;"111?? 41' 7.493"" E";0+300;0+400;921,07463577900;sedang;aspal;6
DUREN I;56;"111?? 41' 7.493"" E";0+400;0+500;921,07463577900;RR;aspal;6
DUREN I;56;"111?? 41' 7.493"" E";0+500;0+600;921,07463577900;RB;aspal;6
DUREN I;56;"111?? 41' 7.493"" E";0+600;0+700;921,07463577900;baik;aspal;6
DUREN I;56;"111?? 41' 7.493"" E";0+700;0+800;921,07463577900;sedang;aspal;6
DUREN I;56;"111?? 41' 7.493"" E";0+800;0+900;921,07463577900;RR;aspal;6
